;Nome;Referencia;Saldo0;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11;Data12;Excedente13
0;Valor não encontrado;61190000A ;;;;;;;;;;;;;;;
1;RV NORDICO SNOW AC 32X59 R;61190016A ;"Armazem
1106,27";;;;;;;;;;;;;;
2;INS CYGNUS 32X59 R;61190174A ;"Armazem
3703,01";;;;;;;;;;;;;;
3;INS REALE PATCH 32X59 R;61190176A ;"Armazem
148,03";;;;;;;;;;;;;;
4;INS FLER BRANCO AC 32X59 R;61190200A ;"Armazem
9220,80";;;;;;;;;;;;;;
5;INS FLER BEGE AC 32X59 R;61190202A ;"Armazem
10446,85";;;;;;;;;;;;;;
6;Valor não encontrado;61190204A ;;;;;;;;;;;;;;;
7;RV PRESTIGE CREMA AC 32X59 R;61190234A ;"Armazem
1801,22";;;;;;;;;;;;;;
8;INS MIXDECOR MULTICOR AC 32X59 R;61190238A ;"Armazem
3444,24";;;;;;;;;;;;;;
9;INS MIXDECOR SOFT AC 32X59R;61190240A ;"Armazem
667,83";;;;;;;;;;;;;;
10;RV ONICE AC 30X90,2 R;61190246A ;"Armazem
470,88";;;;;;;;;;;;;;
11;INS LUDO WHITE AC 32X59 R;61190248A ;"Armazem
9272,76";;;;;;;;;;;;;;
12;INS LUDO WHITE BR 32X59 R;61190250A ;"Armazem
6376,40";;;;;;;;;;;;;;
13;INS LUDO BLACK AC 32X59 R;61190252A ;"Armazem
9047,80";;;;;;;;;;;;;;
14;RV NORDICO SNOW 30X90,2 R;61220004A ;"Armazem
365,04"; 03/05/2022 ; 850,23 M2; 08/05/2022 ; 89,91 M2;;;;;;;;;;
15;RV NORDICO SNOW AC 30X90,2 R;61220006A ;"Armazem
49,68"; 10/05/2022 ; 9778,05 M2; 03/05/2022 ; 15964,29 M2; 30/04/2022 ; 39,42 M2; 16/05/2022 ; 4989,87 M2; 10/05/2022 ; 1348,11 M2; 07/05/2022 ; 19,44 M2;;
16;RV CALACATA AC 30X90,2 R;61220096A ;"Armazem
4230,36";;;;;;;;;;;;;;
17;INS CALACATA AC 30X90,2 R;61220098A ;"Armazem
4527,36";;;;;;;;;;;;;;
18;INS FLOREST GLASS AC 30X90,2 R;61220102A ;"Armazem
503,28";;;;;;;;;;;;;;
19;INS ALAMO GLASS NAT AC 30X90,2R;61220104A ;"Armazem
616,68";;;;;;;;;;;;;;
20;Valor não encontrado;61220106A ;;;;;;;;;;;;;;;
21;INS ALFAMA MULTICOR AC 30X90,2 R;61220108A ;"Armazem
2714,04";;;;;;;;;;;;;;
22;INS ALAMO MARROM AC 30X90,2 R;61220112A ;"Armazem
399,60";;;;;;;;;;;;;;
23;INS SHAPE MULTICOR AC 30X90,2 R;61220114A ;"Armazem
3835,08";;;;;;;;;;;;;;
24;INS RISCA BRANCO AC 30X90,2 R;61220118A ;"Armazem
956,88"; 03/05/2022 ; 42,39 M2;;;;;;;;;;;;
25;INS LUX WHITE BR 30X90,2 R;61220120A ;"Armazem
2088,18";;;;;;;;;;;;;;
26;INS LUX SALVIA BR 30X90,2 R;61220122A ;"Armazem
4,05"; 24/05/2022 ; 1895,67 M2;;;;;;;;;;;;
27;INS LUX FENDI BR 30X90,2 R;61220124A ;; 24/05/2022 ; 1699,65 M2;;;;;;;;;;;;
28;INS LUX WHITE AC 30X90,2 R;61220126A ;"Armazem
2800,98"; 24/05/2022 ; 175,23 M2;;;;;;;;;;;;
29;INS ONICE AC 30X90,2 R;61220128A ;"Armazem
581,04";;;;;;;;;;;;;;
30;INS CALACATA MOSAIC AC 30X90,2 R;61220130A ;"Armazem
1225,80";;;;;;;;;;;;;;
31;INS BLOSSOM BLUE AC 30X90,2 R;61220132A ;"Armazem
924,48";;;;;;;;;;;;;;
32;RV GLACIAL SNOW 33X60;61300004A ;"Armazem
7549,34"; 11/05/2022 ; 232,27 M2; 02/05/2022 ; 155,77 M2; 24/04/2022 ; 178,56 M2;;;;;;;;
33;RV GLACIAL SNOW AC 33X60;61300006A ;"Armazem
22844,22"; 24/05/2022 ; 47,37 M2;;;;;;;;;;;;
34;RV GLACIAL OFF WHITE 33X60;61300008A ;"Armazem
7050,12"; 18/05/2022 ; 3032,58 M2;;;;;;;;;;;;
35;RV GLACIAL SOFT BEGE 33X60;61300010A ;"Armazem
2884,14";;;;;;;;;;;;;;
36;RV GLACIAL OFF WHITE AC 33X60;61300014A ;"Armazem
6075,66"; 20/05/2022 ; 2524,64 M2;;;;;;;;;;;;
37;RV GLACIAL SOFT BEGE AC 33X60;61300016A ;"Armazem
3180,62";;;;;;;;;;;;;;
38;Valor não encontrado;61310000A ;;;;;;;;;;;;;;;
39;Valor não encontrado;61310002A ;;;;;;;;;;;;;;;
40;Valor não encontrado;61310004A ;;;;;;;;;;;;;;;
41;Valor não encontrado;61310006A ;;;;;;;;;;;;;;;
42;Valor não encontrado;61310008A ;;;;;;;;;;;;;;;
43;Valor não encontrado;61310010A ;;;;;;;;;;;;;;;
44;Valor não encontrado;61320002A ;;;;;;;;;;;;;;;
45;RV COLOR RETRO AMARELO 11X25;61320008A ;"Armazem
407,68";;;;;;;;;;;;;;
46;RV COLOR RETRO VERMELHO 11X25;61320010A ;"Armazem
89,44";;;;;;;;;;;;;;
47;Valor não encontrado;61320012A ;;;;;;;;;;;;;;;
48;RV DROPS MENTA BR 11X25;61320014A ;"Armazem
199,68";;;;;;;;;;;;;;
49;RV DROPS TUTTI FRUTTI BR 11X25;61320016A ;"Armazem
290,16";;;;;;;;;;;;;;
50;Valor não encontrado;61320018A ;;;;;;;;;;;;;;;
51;RV DROPS UVA BR 11X25;61320020A ;"Armazem
489,84";;;;;;;;;;;;;;
52;RV TWIST MULTICOR BR 21,5X21,5;62030000A ;"Armazem
843,51";;;;;;;;;;;;;;
53;RV PATCH BLUE MT 21,5X21,5;62030002A ;"Armazem
1442,43";;;;;;;;;;;;;;
54;RV PATCH YELLOW MT 21,5X21,5;62030004A ;"Armazem
1607,04";;;;;;;;;;;;;;
55;RV PATCH ORANGE MT 21,5X21,5;62030006A ;"Armazem
343,17";;;;;;;;;;;;;;
56;RV PATCH GREEN MT 21,5X21,5;62030008A ;"Armazem
421,29";;;;;;;;;;;;;;
57;RV PATCH CORAL MT 21,5X21,5;62030010A ;"Armazem
473,37";;;;;;;;;;;;;;
58;RV PATCH PURPLE MT 21,5X21,5;62030012A ;"Armazem
411,06";;;;;;;;;;;;;;
59;RV ELEMENT BR 21,5X21,5;62030014A ;"Armazem
1558,68";;;;;;;;;;;;;;
60;PS TRIBAL DECOR AC 20X20;62030020A ;"Armazem
422,44";;;;;;;;;;;;;;
61;PS TRIBAL GESSO AC 20X20;62030022A ;"Armazem
159,30";;;;;;;;;;;;;;
62;PS TRIBAL CIMENTO AC 20X20;62030024A ;"Armazem
699,74";;;;;;;;;;;;;;
63;Valor não encontrado;62030026A ;;;;;;;;;;;;;;;
64;RV AMAZONIA BR 21,5X21,5;62030034A ;"Armazem
1194,12";;;;;;;;;;;;;;
65;PS OCEANIC LAKE BLUE 20X20;62060102A ;"Armazem
2285,66";;;;;;;;;;;;;;
66;PS OCEANIC SKY BLUE 20X20;62060104A ;"Armazem
3873,94";;;;;;;;;;;;;;
67;PS OCEANIC POOL BLUE 20X20;62060106A ;"Armazem
1497,42";;;;;;;;;;;;;;
68;PS OCEANIC WHITE 20X20;62060108A ;"Armazem
3561,24";;;;;;;;;;;;;;
69;Valor não encontrado;62060110A ;;;;;;;;;;;;;;;
70;PS OCEANIC STAR LAKE BLUE 20X20;62060112A ;"Armazem
339,84";;;;;;;;;;;;;;
71;PS OCEANIC STAR SKY BLUE 20X20;62060114A ;"Armazem
1312,16";;;;;;;;;;;;;;
72;PS OCEANIC STAR POOL BLUE 20X20;62060116A ;"Armazem
258,42";;;;;;;;;;;;;;
73;PP ARBOL CANELA 20X120 R;64230004A ;"Armazem
11,60"; 31/10/2022 ; 6010,19 M2; 31/08/2022 ; 6410,86 M2; 18/06/2022 ; 3513,41 M2; 15/05/2022 ; 381,64 M2;;;;;;
74;PP ARBOL MARFIM 20X120 R;64230006A ;"Armazem
4310,56"; 31/10/2022 ; 2504,21 M2; 22/06/2022 ; 158,69 M2;;;;;;;;;;
75;PP ARBOL CARVALHO 20X120 R;64230008A ;"Armazem
1445,36"; 31/10/2022 ; 2504,21 M2; 31/08/2022 ; 2003,32 M2; 18/06/2022 ; 502,05 M2;;;;;;;;
76;PP ARBOL CARVALHO 20X120 RET ABS;64230010A ;; 18/06/2022 ; 1546,05 M2; 12/05/2022 ; 217,85 M2;;;;;;;;;;
77;PP ALAMO NATURAL 20X120 R;64230036A ;"Armazem
6,96"; 10/05/2022 ; 485,34 M2;;;;;;;;;;;;
78;PP ALAMO CINZA AC 20X120 R;64230046A ;"Armazem
396,72"; 10/06/2022 ; 2221,17 M2;;;;;;;;;;;;
79;PP ALAMO MARROM AC 20X120 R;64230048A ;"Armazem
856,08"; 10/06/2022 ; 1502,43 M2;;;;;;;;;;;;
80;PP DEVON NATURAL AC 20X120 R;64230058A ;"Armazem
1907,04"; 31/08/2022 ; 1502,43 M2;;;;;;;;;;;;
81;PP DEVON NATURAL ABS 20X120 R;64230060A ;; 22/06/2022 ; 2003,09 M2; 10/05/2022 ; 177,48 M2;;;;;;;;;;
82;PP DUO CONCRET GRIS 90X90 R;64240018A ;"Armazem
69,66"; 31/10/2022 ; 187,92 M2; 30/09/2022 ; 620,46 M2; 31/08/2022 ; 2990,52 M2; 30/06/2022 ; 88,29 M2; 24/05/2022 ; 84,24 M2;;;;
83;Valor não encontrado;64240042A ;;;;;;;;;;;;;;;
84;PP ARENNA BEGE ABS 90X90 R;64240044A ;"Armazem
57,60"; 26/05/2022 ; 1115,20 M2;;;;;;;;;;;;
85;PP CALACATA AC 90X90 R;64240046A ;"Armazem
211,20"; 30/09/2022 ; 455,20 M2; 30/06/2022 ; 85,60 M2; 18/05/2022 ; 301,60 M2;;;;;;;;
86;PP PRO CEMENT AC 90X90 R;64240060A ;"Armazem
24,00"; 31/10/2022 ; 1121,60 M2; 30/09/2022 ; 240,80 M2; 31/08/2022 ; 755,20 M2; 31/07/2022 ; 113,60 M2; 30/06/2022 ; 7518,40 M2; 24/05/2022 ; 4849,60 M2;;
87;PP PRO CONCRETE AC 90X90 R;64240062A ;"Armazem
8,00"; 30/11/2022 ; 455,20 M2; 31/10/2022 ; 32,80 M2; 30/09/2022 ; 52,00 M2; 31/08/2022 ; 117,60 M2; 31/07/2022 ; 96,80 M2; 30/06/2022 ; 189,60 M2; 28/05/2022 ; 73,60 M2
88;PP PRO IVORY AC 90X90 R;64240064A ;"Armazem
286,40"; 30/11/2022 ; 13,60 M2; 30/09/2022 ; 25,60 M2; 31/08/2022 ; 32,80 M2; 30/06/2022 ; 65,60 M2; 25/05/2022 ; 82,40 M2;;;;
89;PP PRO NUDE AC 90X90 R;64240066A ;; 31/10/2022 ; 312,80 M2; 30/09/2022 ; 32,80 M2; 31/08/2022 ; 194,40 M2; 30/06/2022 ; 56,80 M2; 20/05/2022 ; 40,00 M2;;;;
90;PP PRO SAND AC 90X90 R;64240068A ;"Armazem
14,40"; 30/09/2022 ; 101,60 M2; 31/08/2022 ; 74,40 M2; 30/06/2022 ; 22,40 M2; 31/05/2022 ; 16,00 M2; 30/11/2022 ; 1722,40 M2; 31/10/2022 ; 68,00 M2;;
91;Valor não encontrado;64240070A ;;;;;;;;;;;;;;;
92;PP DECK ALAMO MARROM ABS 90X90 R;64240072A ;"Armazem
656,10";;;;;;;;;;;;;;
93;PP PRESTIGE CREMA AC 90X90 R;64240074A ;; 30/09/2022 ; 230,40 M2; 26/05/2022 ; 142,40 M2;;;;;;;;;;
94;PP PRESTIGE CREMA ABS 90X90 R;64240076A ;"Armazem
408,00";;;;;;;;;;;;;;
95;PP NORDICO SNOW AC 90X90 R;64240078A ;"Armazem
115,20"; 30/09/2022 ; 109,60 M2; 30/06/2022 ; 48,80 M2; 26/05/2022 ; 250,40 M2;;;;;;;;
96;Valor não encontrado;64240080A ;;;;;;;;;;;;;;;
97;PP PRO CEMENT GP 90X90 R;64240082A ;"Armazem
64,00"; 30/09/2022 ; 1078,40 M2;;;;;;;;;;;;
98;PP PRO MAX SAND ABS 90X90 R;64240084A ;"Armazem
216,00"; 30/09/2022 ; 734,40 M2; 31/05/2022 ; 262,40 M2;;;;;;;;;;
99;PP PRO MAX CONCRETE ABS 90X90 R;64240086A ;; 30/09/2022 ; 300,80 M2; 30/06/2022 ; 307,20 M2; 31/05/2022 ; 279,20 M2;;;;;;;;
100;PP PRO CONCRETE GP 90X90 R;64240088A ;"Armazem
579,20";;;;;;;;;;;;;;
101;PP PRO IVORY GP 90X90 R;64240090A ;"Armazem
155,20"; 27/05/2022 ; 227,20 M2;;;;;;;;;;;;
102;PP PRO SAND GP 90X90R;64240092A ;"Armazem
6,40"; 30/09/2022 ; 89,60 M2; 30/06/2022 ; 267,20 M2;;;;;;;;;;
103;PP CALACATA GP 90X90 R;64240094A ;"Armazem
489,60"; 30/06/2022 ; 1246,40 M2;;;;;;;;;;;;
104;PP ONICE AC 90X90 R;64240096A ;"Armazem
67,20"; 30/11/2022 ; 610,40 M2; 30/09/2022 ; 308,00 M2; 31/08/2022 ; 112,00 M2; 30/06/2022 ; 8,00 M2;;;;;;
105;PE SEATTLE WHITE POL 90X90 R;64240100A ;"Armazem
633,60"; 30/06/2022 ; 20,80 M2;;;;;;;;;;;;
106;PP SEATTLE WHITE AC 90X90 R;64240102A ;"Armazem
51,20"; 30/11/2022 ; 1773,60 M2; 31/10/2022 ; 525,60 M2; 31/08/2022 ; 22,40 M2; 30/06/2022 ; 32,80 M2; 31/05/2022 ; 197,60 M2;;;;
107;PP QUARTZITA BEGE AC 90X90 R;64240104A ;; 30/05/2022 ; 1860,80 M2;;;;;;;;;;;;
108;PP QUARTZITA BEGE ABS 90X90 R;64240106A ;; 30/11/2022 ; 2496,80 M2; 30/05/2022 ; 345,60 M2;;;;;;;;;;
109;PP QUARTZITA CINZA AC 90X90 R;64240108A ;"Armazem
664,00";;;;;;;;;;;;;;
110;PP QUARTZITA CINZA ABS 90X90 R;64240110A ;; 30/09/2022 ; 294,40 M2; 30/05/2022 ; 88,00 M2;;;;;;;;;;
111;PP SEATTLE WHITE ABS 90X90 R;64240112A ;; 30/09/2022 ; 13,60 M2; 31/07/2022 ; 208,00 M2; 31/05/2022 ; 37,60 M2;;;;;;;;
112;PP LIVERPOOL CINZA AC 60X120 R;64280000A ;"Armazem
1110,44";;;;;;;;;;;;;;
113;PP PRO CONCRETE AC 60X120 R;64280002A ;"Armazem
2176,86"; 31/10/2022 ; 2995,49 M2; 31/08/2022 ; 2995,49 M2;;;;;;;;;;
114;PP PRO SAND AC 60X120 R;64280004A ;"Armazem
1377,40"; 31/08/2022 ; 4093,86 M2; 31/10/2022 ; 3993,75 M2;;;;;;;;;;
115;PP SEATTLE DECOR GRIS AC 30X60 R;66220122A ;"Armazem
1198,80";;;;;;;;;;;;;;
116;PP SEATTLE SPIN WHITE AC 30X60 R;66220124A ;"Armazem
259,92"; 14/07/2022 ; 1563,12 M2;;;;;;;;;;;;
117;PP SEATTLE SPIN GRIS AC 30X60 R;66220126A ;"Armazem
267,84"; 14/07/2022 ; 2555,64 M2;;;;;;;;;;;;
118;PP SPIN WHITE AC 30X60 R;66220132A ;"Armazem
931,68"; 12/07/2022 ; 1361,70 M2;;;;;;;;;;;;
119;PE SEATTLE GRIS POL 90X90 R;67180020A ;"Armazem
67,20"; 30/09/2022 ; 669,60 M2; 30/06/2022 ; 230,40 M2;;;;;;;;;;
120;PP SEATTLE GRIS AC 90X90 R;67180022A ;; 31/10/2022 ; 519,20 M2; 30/09/2022 ; 1165,60 M2; 31/08/2022 ; 244,00 M2; 31/07/2022 ; 178,40 M2; 30/06/2022 ; 70,40 M2; 12/05/2022 ; 2,40 M2;;
121;PP SEATTLE GRIS ABS 90X90 R;67180024A ;"Armazem
14,40"; 31/10/2022 ; 1229,60 M2; 30/09/2022 ; 652,80 M2; 31/08/2022 ; 80,00 M2; 30/06/2022 ; 84,80 M2; 30/05/2022 ; 17,60 M2;;;;
122;MOSAICO OXI RUDDY 33X33;72290094A ;"Armazem
1181,04";;;;;;;;;;;;;;
123;MOSAICO SEATTLE GRIS 33X33;72290096A ;"Armazem
3099,36";;;;;;;;;;;;;;
124;Valor não encontrado;72290098A ;;;;;;;;;;;;;;;
125;ACPS MOSAICO ARGOS MULTICOR;74370010A ;"Armazem
1244";;;;;;;;;;;;;;
126;MOSAICO MIX STONE WH 29,5X32,2;74680000A ;"Armazem
792";;;;;;;;;;;;;;
127;PP BRICK ADOBE TERRACOTA 7,5X30;85040006A ;"Armazem
550,80"; 21/05/2022 ; 831,97 M2;;;;;;;;;;;;
128;PP BRICK PRO CEMENT AC 7,5X30;85040008A ;"Armazem
503,88"; 22/04/2022 ; 5,01 M2;;;;;;;;;;;;
129;PP BRICK PRO CONCRETE AC 7,5X30;85040010A ;"Armazem
945,54"; 05/06/2022 ; 702,34 M2;;;;;;;;;;;;
130;PP BRICK PRO IVORY AC 7,5X30;85040012A ;"Armazem
717,06";;;;;;;;;;;;;;
131;PP BRICK PRO NUDE AC 7,5X30;85040014A ;"Armazem
298,86";;;;;;;;;;;;;;
132;PP BRICK PRO SAND AC 7,5X30;85040016A ;"Armazem
633,42";;;;;;;;;;;;;;
133;PE PRO CONCRETE POL 60X120 R;96050008A ;"Armazem
4323,90";;;;;;;;;;;;;;
134;PE PRO SAND POL 60X120 R;96050010A ;"Armazem
4482,94"; 31/10/2022 ; 2496,36 M2;;;;;;;;;;;;
135;PE PRESTIGE CREMA POL 90X90 R;96080004A ;"Armazem
9,60"; 30/09/2022 ; 364,80 M2; 24/05/2022 ; 166,40 M2;;;;;;;;;;
136;PE MARMO KENYA BEGE POL 90X90 R;96080006A ;; 31/10/2022 ; 1159,20 M2; 30/09/2022 ; 15,20 M2; 30/06/2022 ; 188,00 M2;;;;;;;;
137;PE CALACATA POL 90X90 R;96080008A ;"Armazem
3,20"; 30/11/2022 ; 807,20 M2; 30/09/2022 ; 36,80 M2; 30/06/2022 ; 74,40 M2; 24/05/2022 ; 85,60 M2; 30/04/2022 ; 10,40 M2;;;;
138;PE NORDICO SNOW POL 90X90 R;96080010A ;"Armazem
32,00"; 31/10/2022 ; 32,80 M2; 30/09/2022 ; 188,00 M2; 30/06/2022 ; 222,40 M2; 10/05/2022 ; 128,80 M2;;;;;;
139;PE PRO CEMENT POL 90X90 R;96080012A ;"Armazem
56,00"; 31/10/2022 ; 314,40 M2; 30/09/2022 ; 20,00 M2; 30/06/2022 ; 202,40 M2;;;;;;;;
140;PE PRO CONCRETE POL 90X90 R;96080014A ;"Armazem
20,80"; 31/10/2022 ; 877,60 M2; 30/09/2022 ; 186,40 M2; 30/06/2022 ; 25,60 M2; 10/05/2022 ; 7,20 M2;;;;;;
141;PE PRO IVORY POL 90X90 R;96080016A ;"Armazem
33,60"; 30/11/2022 ; 1796,00 M2; 30/09/2022 ; 754,40 M2; 31/08/2022 ; 1818,40 M2; 30/06/2022 ; 21,60 M2; 10/05/2022 ; 25,60 M2;;;;
142;PE PRO NUDE POL 90X90 R;96080018A ;"Armazem
8,00"; 30/11/2022 ; 2496,80 M2; 31/08/2022 ; 1159,20 M2; 31/07/2022 ; 9160,00 M2; 30/05/2022 ; 157,60 M2; 05/05/2022 ; 127,20 M2;;;;
143;PE PRO SAND POL 90X90 R;96080020A ;"Armazem
83,20"; 31/10/2022 ; 1159,20 M2; 30/09/2022 ; 45,60 M2; 30/06/2022 ; 4,80 M2; 10/05/2022 ; 116,00 M2;;;;;;
144;PE ONICE POL 90X90 R;96080022A ;"Armazem
25,60"; 31/10/2022 ; 2356,00 M2; 30/09/2022 ; 3022,40 M2; 31/07/2022 ; 441,60 M2; 30/06/2022 ; 272,00 M2; 24/05/2022 ; 790,40 M2; 30/04/2022 ; 1543,20 M2;;
145;Valor não encontrado;96090002A ;;;;;;;;;;;;;;;
146;LM CALACATA AC 120X120 R;98000030A ;"Armazem
1117,20"; 30/11/2022 ; 1496,25 M2; 30/06/2022 ; 997,50 M2;;;;;;;;;;
147;LM CALACATA MC 120X120 R;98000032A ;; 30/11/2022 ; 1496,25 M2; 31/08/2022 ; 2094,75 M2; 31/07/2022 ; 997,50 M2; 30/05/2022 ; 3192,00 M2;;;;;;
148;LM SOLID CONCRET AC 120X120 R;98000034A ;"Armazem
8,55"; 30/11/2022 ; 2892,75 M2; 30/09/2022 ; 7484,10 M2; 30/06/2022 ; 7384,35 M2; 30/05/2022 ; 2992,50 M2;;;;;;
149;LM SOLID CONCRET MC 120X120 R;98000036A ;"Armazem
347,70"; 30/11/2022 ; 1496,25 M2; 31/08/2022 ; 399,00 M2; 31/07/2022 ; 997,50 M2;;;;;;;;
150;LM SOLID SAND AC 120X120 R;98000038A ;; 30/11/2022 ; 3391,50 M2; 30/09/2022 ; 3391,50 M2; 30/06/2022 ; 7384,35 M2; 30/05/2022 ; 1995,00 M2;;;;;;
151;LM SOLID SAND MC 120X120 R;98000040A ;"Armazem
1898,10";;;;;;;;;;;;;;
152;LM GALILEU CINZA MC 120X120 R;98000042A ;; 30/11/2022 ; 1496,25 M2; 31/08/2022 ; 5786,92 M2; 31/07/2022 ; 2892,75 M2;;;;;;;;
153;LM GALILEU CINZA AC 120X120 R;98000044A ;"Armazem
14,25"; 30/11/2022 ; 11076,52 M2; 30/06/2022 ; 7484,10 M2; 30/05/2022 ; 4190,92 M2;;;;;;;;
154;LM GALILEU BEGE MC 120X120 R;98000046A ;"Armazem
210,90"; 31/08/2022 ; 2394,00 M2; 31/07/2022 ; 1197,00 M2; 30/11/2022 ; 1496,25 M2;;;;;;;;
155;LM GALILEU BEGE AC 120X120 R;98000048A ;"Armazem
39,90"; 30/11/2022 ; 12273,52 M2; 30/09/2022 ; 1496,25 M2; 30/06/2022 ; 5088,68 M2;;;;;;;;
156;LM CALACATA MC 60X120 R;98020004A ;"Armazem
42,60"; 31/08/2022 ; 3894,35 M2; 30/06/2022 ; 1497,39 M2; 15/05/2022 ; 105,79 M2;;;;;;;;
157;LM CALACATA AC 60X120 R;98020006A ;"Armazem
302,46"; 31/08/2022 ; 1597,50 M2; 30/06/2022 ; 1497,39 M2;;;;;;;;;;
158;LM LOFT WOOD WHITE AC 20X120 R;98030000A ;"Armazem
8,28"; 15/05/2022 ; 568,79 M2;;;;;;;;;;;;
159;LM LOFT WOOD GRAY AC 20X120 R;98030002A ;; 20/05/2022 ; 782,00 M2;;;;;;;;;;;;
160;Valor não encontrado;98050002A ;;;;;;;;;;;;;;;
161;Valor não encontrado;98050004A ;;;;;;;;;;;;;;;
162;LM CITY NUDE MC 100X200 R;98050006A ;"Armazem
180";;;;;;;;;;;;;;
163;LM CITY NUDE AC 100X200 R;98050008A ;"Armazem
474";;;;;;;;;;;;;;
164;LM CITY CEMENT MC 100X200 R;98050010A ;"Armazem
902";;;;;;;;;;;;;;
165;Valor não encontrado;98050012A ;;;;;;;;;;;;;;;
